#{"t_start": 1744803652.4423187, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
90.0,1281,58.538708
155.0,2247,58.960173
150.0,1491,59.21763
110.0,2081,59.57971
195.0,2399,60.007495
120.0,1933,60.376593
240.0,2823,60.880673
80.0,1905,61.226189
65.0,1381,61.502964
150.0,2259,61.932357
120.0,2121,64.57483
135.0,2139,64.967736
60.0,1553,65.239219
255.0,2563,65.716794
210.0,2755,66.243571
180.0,2037,66.61442
155.0,2375,67.04828
215.0,2363,67.46385
135.0,2771,67.973818
220.0,2941,68.534543
245.0,2911,69.068414
445.0,3689,69.741004
20.0,1143,69.965249
355.0,2809,70.486654
75.0,1977,70.836953
135.0,1979,71.188061
260.0,2679,71.689602
190.0,2561,72.152086
35.0,1161,72.373978
90.0,1089,72.568939
110.0,1859,72.90288
90.0,2371,73.351829
210.0,3711,74.027375
110.0,1661,74.323617
45.0,1161,74.558465
30.0,1251,74.781178
520.0,3495,75.434132
235.0,1881,75.784101
240.0,2681,76.296408
80.0,1185,76.500206
120.0,1637,76.847496
155.0,2053,77.237182
90.0,1639,77.544017
160.0,1929,77.910222
345.0,3685,78.591128
55.0,1613,78.906383
165.0,2547,79.369047
120.0,1893,79.735944
105.0,1861,80.085301
355.0,2471,80.538539
125.0,2181,80.946538
310.0,2051,81.309735
550.0,3815,82.033321
65.0,1263,82.257899
35.0,1063,82.456148
165.0,2407,82.888424
110.0,1547,83.161426
50.0,1113,83.366706
165.0,2033,86.934485
125.0,2423,87.894911
225.0,2121,88.731281
330.0,2223,89.649389
360.0,3071,90.942315
240.0,2813,92.120056
110.0,2059,92.954558
120.0,1951,93.757701
135.0,1895,94.544828
155.0,1995,95.461513
55.0,1439,96.037568
285.0,2975,97.278269
210.0,2561,98.371097
100.0,1165,98.858263
120.0,2035,99.727133
210.0,2495,100.809028
95.0,2119,101.740013
110.0,1801,102.443311
100.0,1899,103.239326
120.0,1887,104.041564
85.0,1799,104.81985
65.0,1535,105.440737
40.0,1883,106.232241
155.0,2073,107.118956
65.0,1519,107.746447
195.0,2927,108.978474
120.0,2021,109.816487
60.0,1831,110.602495
45.0,1185,111.12015
160.0,2031,111.976156
120.0,2189,112.910285
135.0,2431,113.92348
565.0,3639,115.436186
120.0,1891,116.227458
35.0,1195,116.712504
565.0,3823,118.312726
120.0,1959,119.145085
55.0,1175,119.630422
110.0,2095,120.5315
120.0,1871,121.308492
345.0,3633,122.845146
55.0,1139,123.307674
105.0,1783,124.056987
80.0,1655,124.688327
215.0,2459,125.678687
45.0,1757,126.335907
250.0,2907,127.499161
225.0,2231,128.396965
100.0,1639,130.533661
120.0,2019,131.358435
25.0,983,131.744864
80.0,1889,132.512775
125.0,2055,133.356962
60.0,1587,134.024644
465.0,3285,135.407124
65.0,1843,136.197776
130.0,1901,136.971621
80.0,1759,137.702421
110.0,1923,138.510917
30.0,1721,139.242182
80.0,1855,140.058507
105.0,1249,140.574064
200.0,2465,141.589667
75.0,1165,142.076824
135.0,1895,142.861013
215.0,2279,143.814832
85.0,1921,144.626406
80.0,1149,145.120798
120.0,2287,146.040541
350.0,3395,147.345636
315.0,3821,148.833506
75.0,1807,149.523787
145.0,1955,150.277999
95.0,1535,150.844483
70.0,1607,151.454897
295.0,3793,152.871939
50.0,1683,153.547415
230.0,2701,154.625901
60.0,1615,155.240123
180.0,1695,155.893027
150.0,1979,156.696609
145.0,2003,157.567057
210.0,2357,158.574925
120.0,2097,159.374021
185.0,2009,160.116494
110.0,2079,160.877219
35.0,1123,161.302473
60.0,1707,161.957517
80.0,1639,162.590869
105.0,1907,163.335931
185.0,1857,164.049755
120.0,1673,164.69197
505.0,4695,166.442225
155.0,2275,167.321177
260.0,3155,168.537392
425.0,2811,169.608
210.0,2471,170.555557
235.0,2509,173.718859
110.0,1985,174.499297
105.0,2125,175.389654
65.0,1807,176.192331
395.0,3495,177.583807
120.0,1851,178.31548
115.0,1509,178.903886
240.0,3575,180.38812
240.0,2861,181.562378
145.0,2487,182.568832
210.0,2399,183.535803
105.0,1715,184.216925
135.0,2079,185.02648
210.0,2399,185.973529
105.0,1931,186.776704
55.0,1087,187.208189
190.0,2497,188.21121
355.0,2433,189.151786
180.0,2135,190.031514
120.0,1905,190.756027
140.0,2087,191.606673
380.0,2473,192.574717
390.0,3595,194.005865
155.0,2155,194.870923
120.0,2213,195.738095
120.0,2271,196.601527
150.0,1799,197.366982
335.0,2821,198.53681
105.0,1849,199.284325
325.0,2923,200.523725
105.0,2047,201.318678
135.0,2015,202.162863
415.0,2853,203.35604
135.0,2247,204.275229
385.0,2353,205.24174
135.0,2363,206.239415
110.0,2109,207.11903
110.0,2039,207.961468
180.0,1975,208.773193
105.0,1577,209.422935
110.0,2213,210.331854
125.0,2055,211.184565
575.0,4367,212.986626
260.0,2949,214.191828
240.0,2925,217.881487
55.0,1733,218.602045
180.0,2545,219.58106
105.0,1913,220.312181
185.0,2355,221.287765
110.0,2343,222.257799
210.0,2911,223.464632
180.0,2393,224.458639
410.0,2443,225.454794
180.0,2547,226.509306
110.0,1087,226.974144
60.0,1149,227.479178
110.0,1933,228.328711
135.0,2387,229.370419
190.0,2553,230.463269
180.0,2455,231.502518
105.0,2059,232.394673
125.0,2351,233.428938
240.0,2831,234.643474
350.0,2489,235.761189
345.0,3927,237.463587
180.0,2389,238.457748
105.0,1899,239.251159
50.0,1305,239.823145
345.0,4295,241.662386
120.0,1967,242.501649
105.0,1881,243.250078
155.0,2363,244.193584
60.0,1185,244.670212
80.0,1893,245.43264
135.0,2367,246.446574
155.0,2499,247.511627
210.0,2507,248.598912
30.0,1287,249.144914
180.0,2289,250.122504
180.0,2373,251.121289
60.0,1475,251.737395
110.0,2119,252.634209
415.0,2353,253.651919
180.0,2335,254.64763
180.0,2653,255.690469
15.0,1183,256.127643
105.0,1767,256.797477
35.0,1671,257.444412
885.0,4627,259.276397
105.0,1885,262.976678
165.0,2017,263.836724
110.0,1219,264.33533
135.0,2385,265.242811
105.0,1759,265.948352
150.0,2193,266.88154
75.0,1213,267.362336
60.0,1157,267.796859
125.0,2629,268.798463
240.0,2437,269.752281
240.0,2837,270.923286
110.0,1841,271.653109
240.0,2783,272.750319
210.0,2707,273.830189
70.0,1567,274.473531
105.0,1879,275.244908
155.0,2141,276.131198
200.0,2741,277.27546
125.0,1595,277.906693
65.0,1227,278.39683
105.0,1347,278.933254
115.0,2105,279.7916
80.0,1247,280.258801
105.0,2055,281.058159
265.0,2047,281.860487
210.0,2421,282.843972
60.0,1367,283.373085
265.0,2431,284.315964
385.0,3683,285.829665
385.0,2383,286.818541
180.0,1865,287.571664
45.0,1161,288.041082
30.0,1111,288.546281
105.0,1813,289.25238
50.0,1199,289.723251
110.0,2037,290.529065
145.0,1637,291.140381
110.0,2003,291.9024
90.0,1851,292.625251
105.0,1767,293.363157
90.0,1723,294.196841
120.0,1317,294.713443
175.0,2443,295.669435
225.0,2451,296.62639
120.0,2179,297.522498
120.0,1471,298.102451
140.0,1985,298.834618
120.0,1527,299.441021
150.0,2343,300.330782
35.0,1163,300.794168
110.0,3129,301.993179
80.0,1413,302.558417
80.0,1175,303.029065
150.0,2001,305.744932
210.0,2007,306.508788
235.0,2983,307.639985
110.0,1629,308.240286
225.0,2169,309.079734
180.0,1563,309.703714
125.0,1973,310.423474
120.0,1807,311.126947
215.0,2363,311.997693
45.0,1329,312.494989
525.0,4659,314.188659
145.0,1631,314.780246
125.0,1881,315.491908
155.0,1465,316.021086
135.0,1533,316.577753
95.0,1701,317.216855
80.0,1291,317.66661
80.0,1511,318.248684
240.0,2433,319.242045
625.0,3891,320.854178
405.0,2431,321.842448
135.0,1725,322.516937
125.0,1807,323.198006
55.0,1133,323.61549
155.0,1675,324.28411
120.0,1793,324.949284
45.0,1319,325.465883
170.0,2263,326.430212
370.0,3083,327.732655
65.0,1341,328.334873
215.0,3463,329.758684
110.0,1513,330.381297
105.0,1169,330.852017
80.0,2203,331.749969
180.0,1821,332.532836
135.0,1635,333.245474
75.0,1279,333.786959
135.0,1869,334.543574
160.0,1927,335.365177
225.0,2817,336.582327
150.0,1893,337.428139
70.0,1395,338.052464
185.0,2051,339.00351
55.0,1335,339.59603
155.0,1503,340.282831
45.0,1029,340.74054
125.0,1579,341.500995
55.0,1143,342.027924
315.0,3077,343.362117
100.0,1373,343.982373
135.0,1849,344.816324
90.0,1945,345.678919
5.0,1055,346.156317
60.0,1117,346.622388
135.0,1561,349.041408
165.0,1941,349.856012
110.0,1653,350.517275
90.0,1505,351.119045
360.0,3401,352.565141
125.0,1851,353.33199
120.0,1505,353.967155
185.0,2545,354.979992
210.0,4065,356.858904
