#{"t_start": 1744803652.4423187, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
75.0,1597,1.323436
50.0,1939,1.710675
110.0,1735,2.055903
120.0,2019,2.401193
150.0,1195,2.6084
180.0,1599,2.914066
175.0,2987,3.446755
105.0,1763,3.754892
210.0,2363,4.149646
335.0,3077,4.685941
55.0,1159,4.883176
195.0,2413,5.325874
120.0,1615,5.606095
260.0,2865,6.084363
110.0,2221,6.460717
35.0,1737,6.757299
105.0,2053,7.104878
105.0,1907,7.43132
105.0,1823,7.790495
180.0,2259,8.192577
60.0,1453,8.466394
135.0,2259,8.882021
60.0,1189,9.098383
110.0,2119,9.486761
40.0,1459,9.747952
190.0,2731,10.22644
245.0,2779,10.743439
60.0,1175,10.97687
260.0,3136,11.578252
210.0,2663,12.067497
240.0,3767,12.774783
55.0,1153,12.988738
410.0,2731,13.469423
120.0,1785,13.833822
105.0,1617,14.139581
55.0,1201,14.365905
130.0,1915,14.736943
35.0,1071,14.956815
225.0,2835,15.486724
140.0,2049,15.888351
60.0,1209,16.147157
125.0,2083,16.593562
185.0,3657,17.271001
120.0,1837,17.597022
120.0,1883,17.962121
125.0,2243,18.350148
130.0,1545,18.636586
110.0,1885,18.963018
80.0,1431,19.217007
30.0,1637,19.51499
90.0,1495,22.284838
30.0,1201,22.49456
50.0,1567,22.783287
45.0,1569,23.076341
120.0,1901,23.407108
115.0,1801,23.735186
105.0,1591,24.019087
110.0,2237,24.423972
265.0,2773,24.91517
210.0,2031,25.269873
295.0,3305,25.887704
90.0,1845,26.216742
45.0,1431,26.506195
120.0,1847,26.846007
65.0,2029,27.210815
235.0,2859,27.763412
455.0,2579,28.210509
160.0,2541,28.69362
230.0,3613,29.335539
240.0,2511,29.806874
180.0,2389,30.257745
115.0,1841,30.615455
105.0,1929,30.968459
125.0,1793,31.308472
120.0,1939,31.644046
110.0,1987,31.991721
55.0,1733,32.304466
295.0,2729,32.776285
260.0,2933,33.29215
135.0,1609,33.595679
180.0,2531,34.049847
245.0,3235,34.674131
80.0,1117,34.883304
210.0,2319,35.317476
35.0,1521,35.593616
120.0,2153,36.013582
410.0,2899,36.554471
135.0,1501,36.883465
210.0,2319,37.357761
60.0,1913,37.701108
185.0,2313,38.140613
215.0,2763,38.668695
135.0,2333,39.11112
55.0,1567,39.394142
135.0,1889,39.777189
215.0,3179,40.347369
50.0,1245,40.598546
110.0,1919,40.979785
75.0,1207,41.217008
185.0,2237,43.634711
35.0,1151,43.838289
125.0,1927,44.196574
155.0,2191,44.608648
65.0,1883,44.95797
110.0,2455,45.40051
110.0,1501,45.661853
160.0,1869,46.012887
120.0,1903,46.390906
210.0,2829,46.956781
110.0,1553,47.267288
110.0,1511,47.552904
30.0,1441,47.826343
110.0,2111,48.231475
155.0,2073,48.631635
180.0,2179,49.04205
120.0,2083,49.418228
135.0,2111,49.784335
65.0,1609,50.080881
90.0,1359,50.370175
160.0,2433,50.824338
390.0,3607,51.470038
170.0,2233,51.881791
185.0,2971,52.406636
55.0,1079,52.598326
20.0,1747,52.92431
35.0,1527,53.209455
155.0,2297,53.644041
120.0,1963,54.005255
310.0,2059,54.362835
40.0,1749,54.666694
90.0,1561,54.938554
110.0,1817,55.277584
50.0,1899,55.621951
150.0,2183,56.025877
155.0,1671,56.330961
45.0,1963,56.705593
110.0,1521,56.984757
120.0,1899,57.332413
155.0,1949,57.672836
35.0,1241,57.912437
135.0,1817,58.279275
