#{"t_start": 1744803481.2609782, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
335.0,3869,2.503058
240.0,2885,3.103551
155.0,2115,3.483413
195.0,2433,3.936144
175.0,2199,4.329155
135.0,1755,4.679224
155.0,2467,5.115697
60.0,1395,5.37172
260.0,3163,5.974263
180.0,2409,6.420485
130.0,2037,6.799748
105.0,1199,7.028086
410.0,2435,7.481191
380.0,3167,8.048023
35.0,1109,8.270929
155.0,2275,8.688383
20.0,1191,8.912519
120.0,2207,9.321159
245.0,2847,9.833522
210.0,2337,10.301833
180.0,1967,10.675586
240.0,3723,11.382317
155.0,2807,11.92908
260.0,2435,12.381592
55.0,1453,12.638149
210.0,2499,13.079345
30.0,1665,13.38119
20.0,1197,13.607399
120.0,2043,13.987999
255.0,4277,14.788969
115.0,1781,15.121463
45.0,1181,15.337163
50.0,1457,15.597139
270.0,3429,16.223406
185.0,1979,16.60024
155.0,3921,17.288015
75.0,1821,17.64494
430.0,2893,18.181829
80.0,1615,18.480031
240.0,3027,19.011164
80.0,1795,19.351911
80.0,1445,19.627007
155.0,2025,20.009384
30.0,1283,20.238155
410.0,2957,22.828517
45.0,1695,23.145501
110.0,1963,23.524786
210.0,2423,23.985357
45.0,1813,24.303577
210.0,2451,24.746131
105.0,1785,25.07356
155.0,1985,25.425277
225.0,3791,26.113196
80.0,1655,26.420043
105.0,1201,26.640794
30.0,1507,26.933536
45.0,1597,27.220745
75.0,1647,27.525047
105.0,1461,27.815737
80.0,1575,28.116567
135.0,1357,28.360064
125.0,2081,28.75386
60.0,1167,28.962188
180.0,2315,29.364657
120.0,1897,29.737628
690.0,3047,30.296435
110.0,2115,30.700988
5.0,1623,30.99396
135.0,1575,31.284176
245.0,3151,31.897473
50.0,2159,32.296076
155.0,3881,32.991462
155.0,2289,33.425786
65.0,1157,33.651499
160.0,2303,34.116878
125.0,1567,34.414144
155.0,2073,34.796285
105.0,1139,35.005262
15.0,1519,35.299347
200.0,3041,35.947428
80.0,1179,36.194937
45.0,1255,36.461489
90.0,1935,36.865567
75.0,2005,37.273032
155.0,2297,37.736891
720.0,4705,38.702348
65.0,2079,39.149573
470.0,4353,39.99658
50.0,1451,40.263228
45.0,1169,40.480801
135.0,2455,40.932883
90.0,1893,41.281733
210.0,2505,41.753089
195.0,2281,42.161563
90.0,1929,44.381162
425.0,3701,45.078036
110.0,1641,45.394971
105.0,1513,45.681863
90.0,1533,45.956189
165.0,2471,46.425429
155.0,1941,46.77788
165.0,2069,47.147882
120.0,1875,47.492653
155.0,2363,47.910885
225.0,2599,48.373456
220.0,2867,48.895462
185.0,2109,49.286608
315.0,4377,50.076731
110.0,2123,50.48696
155.0,1899,50.85259
140.0,1973,51.206556
150.0,1545,51.498245
70.0,1751,51.822146
185.0,3007,52.358765
105.0,2047,52.730309
65.0,1685,53.042555
290.0,2989,53.559319
230.0,4431,54.351505
195.0,2379,54.791127
80.0,1965,55.1442
340.0,3707,55.831018
75.0,1141,56.054671
120.0,2227,56.483612
110.0,1845,56.83967
245.0,3181,57.416121
45.0,1745,57.746386
155.0,2021,58.114974
65.0,1475,58.372699
380.0,2957,58.913585
150.0,2089,59.304503
30.0,1161,59.528102
155.0,2357,59.955041
110.0,2817,60.486456
145.0,2211,60.903271
35.0,1525,61.193507
95.0,1581,61.476758
75.0,1147,61.684643
110.0,1983,62.067261
495.0,2797,62.576254
160.0,2117,64.536967
195.0,2069,64.910271
20.0,1491,65.196822
30.0,1199,65.419579
210.0,3129,65.970003
80.0,1659,66.25654
135.0,2127,66.656072
105.0,1529,66.932962
250.0,3249,67.529341
120.0,2087,67.908669
120.0,1845,68.234519
65.0,1185,68.441767
80.0,1213,68.653891
175.0,2199,69.06416
50.0,1185,69.272611
65.0,1155,69.503795
135.0,2265,69.929166
50.0,1643,70.219369
50.0,1387,70.478023
70.0,1637,70.779357
105.0,1437,71.04818
110.0,2035,71.422785
240.0,2491,71.903073
80.0,1561,72.18667
85.0,1111,72.418562
200.0,2017,72.77407
150.0,2147,73.152939
210.0,2637,73.625488
70.0,1891,73.9595
220.0,3491,74.604284
165.0,1987,74.968838
135.0,1645,75.273566
15.0,1279,75.498209
180.0,2481,75.963579
55.0,1769,76.306005
75.0,1217,76.538249
155.0,2383,77.001243
225.0,2541,77.45069
120.0,2071,77.823319
85.0,1993,78.190223
155.0,2431,78.629532
120.0,2225,79.035789
165.0,2419,79.464151
110.0,1555,79.734595
105.0,1869,80.086389
180.0,2215,80.486172
195.0,3317,81.075207
310.0,3903,81.762909
65.0,1863,82.105108
105.0,1177,82.319685
135.0,1853,82.68328
65.0,1693,82.975935
340.0,2681,86.782493
75.0,1215,87.272712
145.0,2147,88.129368
110.0,2005,88.871935
270.0,2761,89.949542
110.0,2027,90.770363
120.0,2127,91.618924
135.0,2231,92.541247
65.0,1925,93.364473
110.0,1967,94.162188
35.0,1093,94.584128
120.0,1905,95.371393
90.0,1531,95.965733
120.0,1635,96.620781
155.0,1781,97.329113
110.0,2219,98.150024
65.0,2711,99.206507
65.0,1083,99.596195
45.0,1175,100.039309
335.0,2265,100.881419
180.0,2151,101.785046
110.0,2145,102.707209
160.0,2545,103.812142
125.0,2187,104.697137
135.0,2269,105.627488
240.0,2313,106.57341
110.0,2289,107.460078
90.0,1401,108.027378
140.0,1697,108.705597
110.0,1701,109.322314
105.0,1817,110.005766
180.0,2049,110.764423
160.0,2259,111.711673
135.0,1979,112.464567
180.0,1895,113.193333
5.0,1429,113.721003
460.0,3335,115.033042
150.0,1917,115.880367
75.0,2199,116.847905
120.0,2237,117.785427
120.0,1945,118.532352
210.0,2261,119.443887
170.0,2585,120.49352
5.0,1805,121.266881
110.0,1961,122.073052
80.0,1153,122.493054
180.0,2013,123.263089
215.0,2101,123.985924
75.0,1601,124.552654
155.0,2071,125.336619
120.0,2259,126.109365
440.0,2559,128.725736
105.0,1945,129.492288
100.0,2137,130.330956
135.0,2021,131.074646
180.0,2763,132.117158
160.0,2407,133.048523
170.0,2945,134.13151
30.0,1463,134.674219
155.0,2191,135.506814
210.0,2193,136.413728
110.0,1995,137.163739
120.0,2061,137.946209
60.0,1169,138.36093
75.0,1185,138.791409
350.0,2231,139.5998
130.0,1565,140.233129
210.0,2179,141.059232
20.0,1801,141.68318
30.0,1227,142.166341
380.0,3093,143.37577
110.0,1329,143.868735
295.0,3415,145.151835
325.0,3319,146.493687
120.0,2055,147.382343
75.0,1171,147.867399
210.0,2437,148.88287
215.0,3305,150.277255
215.0,2405,151.298439
75.0,1509,151.953354
65.0,1749,152.695377
155.0,2203,153.622658
415.0,3487,155.127835
30.0,1217,155.665182
210.0,2405,156.723597
205.0,2323,157.73435
55.0,1543,158.416847
110.0,1641,159.133579
230.0,3175,160.441436
105.0,1671,161.119653
195.0,2405,162.040925
240.0,2609,163.023472
70.0,1677,163.683332
65.0,1213,164.14834
145.0,2281,165.054551
245.0,2945,166.179178
170.0,2669,167.243751
455.0,2657,168.252721
