#{"t_start": 1744804027.2058632, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
75.0,1541,1.314972
125.0,1571,1.60044
375.0,3819,2.306193
210.0,4091,3.017501
90.0,2341,3.46729
135.0,1341,3.701995
160.0,2145,4.09471
215.0,2683,4.574887
240.0,2671,5.051943
80.0,1799,5.371122
225.0,2557,5.823889
115.0,2065,6.185377
75.0,1909,6.516594
45.0,1137,6.71739
155.0,2069,7.091152
155.0,1913,7.42802
50.0,1167,7.646281
425.0,2669,8.115546
135.0,1993,8.479049
145.0,1827,8.798545
410.0,2115,9.177909
120.0,2347,9.614141
120.0,1993,9.96408
155.0,2627,10.435803
155.0,1763,10.769289
50.0,1197,10.980936
55.0,1869,11.335938
130.0,2135,11.724508
185.0,1959,12.065735
105.0,2055,12.437422
185.0,1955,12.775097
100.0,1975,13.143442
165.0,2209,13.531942
105.0,1761,13.847053
165.0,2121,14.218607
335.0,2469,14.676037
185.0,2101,15.110793
190.0,2381,15.523233
180.0,1621,15.846269
135.0,1785,16.18185
45.0,1119,16.384033
135.0,2205,16.768003
80.0,1753,17.07607
45.0,1861,17.405151
80.0,1155,17.606112
140.0,2239,17.997792
130.0,1865,18.342451
180.0,2139,18.721422
135.0,1491,18.985657
180.0,2375,19.401224
175.0,2421,21.570269
170.0,2351,21.985887
240.0,2841,22.485997
75.0,1841,22.814224
75.0,1893,23.153449
105.0,1911,23.49046
105.0,1517,23.759995
110.0,2199,24.147497
95.0,1831,24.46648
115.0,1843,24.793491
155.0,2123,25.170024
215.0,2599,25.619347
270.0,2585,26.131058
135.0,2437,26.651699
65.0,1323,26.905936
75.0,1627,27.221085
180.0,2347,27.644194
110.0,1571,27.9237
155.0,1629,28.231836
120.0,1957,28.591515
285.0,2953,29.123606
105.0,1203,29.342632
50.0,1747,29.657957
155.0,1877,29.9922
95.0,2391,30.428123
135.0,1827,30.751283
240.0,2555,31.198269
315.0,3351,31.779868
180.0,3497,32.389772
15.0,1225,32.607942
155.0,2129,32.982096
565.0,3965,33.664005
55.0,1525,33.934274
140.0,1731,34.237115
225.0,2559,34.680158
105.0,1915,35.015625
45.0,1541,35.287606
30.0,1507,35.551576
65.0,1151,35.754352
210.0,2555,36.210648
