#{"t_start": 1744769748.434291, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
210.0,2957,145.379742
110.0,2035,146.217546
135.0,1889,147.011545
180.0,2321,147.943835
115.0,1607,148.600225
150.0,2017,149.440295
125.0,1855,150.168803
330.0,3593,151.64742
95.0,1879,152.411225
135.0,2041,153.272346
210.0,2393,154.255368
180.0,2279,155.184079
75.0,1257,155.716754
140.0,1909,156.505964
100.0,1845,157.279592
175.0,1861,158.110486
260.0,2805,159.194774
50.0,1835,159.893032
30.0,1217,160.344173
20.0,1779,161.038943
110.0,1835,161.752495
80.0,1687,162.380165
75.0,1425,162.93081
210.0,2167,163.801608
110.0,1589,164.437759
130.0,2543,165.442208
80.0,1707,166.143739
75.0,1769,166.848034
75.0,1591,167.503818
105.0,1975,168.31265
210.0,2605,169.42737
185.0,2373,170.431342
75.0,1619,172.903852
20.0,1133,173.382849
120.0,1681,174.077444
90.0,1573,174.715378
75.0,1197,175.216042
65.0,1501,175.860919
180.0,2111,176.777368
105.0,1443,177.402566
210.0,1897,178.233516
45.0,1201,178.747445
80.0,1125,179.234488
210.0,4295,181.002067
230.0,2319,181.902161
125.0,1181,182.363705
130.0,2343,183.270118
100.0,1497,183.847733
240.0,3473,185.268215
105.0,1905,186.0448
140.0,2115,186.876942
215.0,2701,187.957654
215.0,2919,189.16242
45.0,1657,189.836593
135.0,2567,190.849755
60.0,1155,191.326953
80.0,1877,192.054927
85.0,1195,192.515335
175.0,2889,193.684304
125.0,1861,194.415028
80.0,1999,195.204622
110.0,2153,196.073061
75.0,1815,196.762477
260.0,2935,197.876304
210.0,1949,198.635681
180.0,2485,199.596761
50.0,1341,200.115266
110.0,2341,201.048414
185.0,2245,201.952375
80.0,1959,202.726606
335.0,2053,203.514167
135.0,1883,204.294417
195.0,2125,205.157708
120.0,1997,205.945308
290.0,4267,207.644402
120.0,2041,208.431225
85.0,1971,209.231494
120.0,2483,210.222497
105.0,1395,210.739048
240.0,2617,211.777333
45.0,1199,212.233468
155.0,1843,212.946777
50.0,1259,213.434769
240.0,2661,216.750913
415.0,2429,217.663475
135.0,2071,218.543772
60.0,1455,219.188698
165.0,2835,220.297508
120.0,1965,221.045011
165.0,2097,221.858232
80.0,1993,222.622605
185.0,2133,223.43097
295.0,2759,224.509751
60.0,1761,225.188714
160.0,2267,226.093845
95.0,1181,226.550233
25.0,1287,227.045739
155.0,2415,228.011522
250.0,3761,229.666585
495.0,2997,230.99577
65.0,2255,231.990515
30.0,1181,232.506216
205.0,2687,233.707444
165.0,2013,234.567191
225.0,4365,236.500659
55.0,1517,237.17834
240.0,3147,238.490801
75.0,1305,239.000753
80.0,2387,239.93889
110.0,1219,240.408698
75.0,1243,240.888281
105.0,1941,241.648916
285.0,3205,242.915084
135.0,2411,243.832139
110.0,2269,244.770177
110.0,1919,245.503081
155.0,2355,246.413638
165.0,2895,247.521376
105.0,1841,248.271348
95.0,1283,248.799826
165.0,2319,249.731257
250.0,3081,251.072208
40.0,1783,251.815424
75.0,1053,252.238087
125.0,2217,253.121483
150.0,1915,253.903173
180.0,2353,254.827659
140.0,2305,255.720505
45.0,1775,256.387609
180.0,2095,257.211816
305.0,2897,260.600136
105.0,1941,261.37
180.0,2387,262.298599
265.0,2895,263.440881
170.0,1869,264.197732
205.0,2371,265.103592
330.0,3929,266.655583
110.0,1501,267.270451
75.0,1129,267.74044
115.0,1573,268.367079
135.0,1907,269.116841
260.0,2611,270.133075
360.0,2854,271.251798
165.0,2005,272.044365
275.0,2997,273.318887
80.0,1733,274.084366
120.0,2069,274.92368
190.0,2685,276.014802
185.0,2049,276.833879
90.0,1917,277.604043
105.0,2037,278.433332
280.0,3597,279.847579
120.0,1895,280.584444
205.0,2823,281.753208
25.0,1243,282.266642
500.0,3671,283.823677
520.0,3985,285.394632
55.0,1667,286.040621
75.0,1131,286.514853
100.0,1997,287.315501
105.0,1063,287.754494
295.0,3101,289.008766
540.0,2781,290.147556
115.0,1845,290.927637
45.0,1725,291.662678
155.0,2335,292.622692
155.0,2215,293.544187
240.0,2719,294.677092
40.0,1159,295.136666
140.0,1677,295.760737
475.0,3373,297.118639
405.0,2549,298.134099
30.0,1757,298.876537
250.0,2537,299.910786
20.0,995,300.295092
75.0,1031,300.716038
345.0,2867,304.192179
45.0,1011,304.609413
125.0,1825,305.380666
180.0,1907,306.185587
365.0,3033,307.409309
115.0,1397,308.00914
365.0,2539,309.110323
50.0,1049,309.528364
100.0,1283,310.039717
25.0,1213,310.489297
195.0,2097,311.354315
300.0,3033,312.585886
135.0,1909,313.400475
185.0,2057,314.231754
315.0,2611,315.282314
210.0,2129,316.160021
10.0,1295,316.690079
190.0,2075,317.574886
65.0,1303,318.091465
115.0,1993,318.945988
315.0,3401,320.306824
210.0,2777,321.461165
80.0,1463,322.065831
245.0,2293,323.002815
80.0,1739,323.755425
60.0,1453,324.344165
95.0,1467,324.949621
150.0,1893,325.738127
65.0,1341,326.270188
145.0,2223,327.2634
175.0,2019,328.05332
70.0,1521,328.652908
165.0,2173,329.563096
115.0,1347,330.101687
110.0,1537,330.760678
55.0,963,331.154642
15.0,1359,331.717459
75.0,1499,332.356992
25.0,1275,332.916181
100.0,1429,333.554658
20.0,1225,334.062762
190.0,2735,335.277391
110.0,1935,336.050429
95.0,1403,336.645296
385.0,3057,337.902699
55.0,1363,338.490318
20.0,1253,338.987234
445.0,2543,340.006354
150.0,2193,340.860716
135.0,2361,341.859995
120.0,1593,342.520036
105.0,1497,343.12128
135.0,1443,343.692279
130.0,1567,344.363592
120.0,1553,344.960771
60.0,1463,347.725667
110.0,1431,348.34153
180.0,1891,349.159085
210.0,2597,350.301463
195.0,2339,351.345411
135.0,1409,351.985731
110.0,1957,352.879925
65.0,1315,353.476382
15.0,1455,354.126219
70.0,1495,354.812855
155.0,1453,355.472739
120.0,1599,356.191387
210.0,2397,357.275749
225.0,2167,358.273585
460.0,2209,359.210575
100.0,1525,359.865399
125.0,1501,360.491313
210.0,1925,361.348696
175.0,2395,362.406467
75.0,1255,362.953292
160.0,2429,364.053937
135.0,1693,364.798766
45.0,1419,365.417006
75.0,1673,366.185039
135.0,1633,366.916522
55.0,1139,367.42914
530.0,3309,368.811257
10.0,1161,369.275167
155.0,1953,370.140894
145.0,2009,371.021956
130.0,1827,371.832766
240.0,2623,373.029253
375.0,2471,374.131621
190.0,2351,375.216973
180.0,2293,376.269908
300.0,2627,377.467966
150.0,1611,378.172149
360.0,2197,379.184773
115.0,1581,379.909216
200.0,2527,381.051497
230.0,4837,383.236628
65.0,1257,383.812186
320.0,3051,385.341537
55.0,1475,386.000577
65.0,1389,386.589362
70.0,1595,387.288301
70.0,1443,387.913764
45.0,1995,388.763095
440.0,2894,390.046583
65.0,1089,390.529029
135.0,1663,391.260443
125.0,1377,391.85787
135.0,2189,392.804167
110.0,1565,396.348093
65.0,1763,397.141151
135.0,2055,398.031527
315.0,3141,399.326257
260.0,2345,400.347361
460.0,3365,401.834035
110.0,1543,402.53356
105.0,1385,403.146385
200.0,2875,404.47723
45.0,1103,404.946363
110.0,1319,405.513158
230.0,2353,406.536059
180.0,2441,407.598116
285.0,3133,408.990301
110.0,1573,409.671597
55.0,1489,410.307203
195.0,1995,411.183004
130.0,1679,411.904747
80.0,1695,412.640024
170.0,2209,413.611161
80.0,1685,414.331084
95.0,1697,415.046206
165.0,2415,416.083794
140.0,1925,416.933807
215.0,3379,418.414387
210.0,2449,419.394585
110.0,1997,420.210051
230.0,2473,421.250368
125.0,1487,421.852487
25.0,1393,422.451176
140.0,2629,423.556047
80.0,1151,424.031526
20.0,1063,424.456678
240.0,2955,425.778514
175.0,2111,426.706413
75.0,1253,427.228801
135.0,1873,428.062453
70.0,2159,429.027098
105.0,1463,429.652208
40.0,1417,430.29368
110.0,1675,431.012696
205.0,3387,432.485706
150.0,1841,433.279485
255.0,2483,434.336132
115.0,1811,435.146178
105.0,1867,435.962366
220.0,3085,437.35399
45.0,1499,438.002589
190.0,2769,439.219193
285.0,2695,442.130933
125.0,1893,442.941056
195.0,2289,443.913613
15.0,1309,444.489207
240.0,2025,445.369583
40.0,1385,445.982936
70.0,2031,446.852438
155.0,1931,447.688062
210.0,2069,448.583965
95.0,1931,449.41453
335.0,3083,450.738866
75.0,2221,451.721033
115.0,1735,452.473036
60.0,1483,453.107555
80.0,1681,453.825913
120.0,2181,454.757114
60.0,1829,455.529664
215.0,2123,456.439527
155.0,1881,457.230491
140.0,2223,458.185937
55.0,1577,458.930293
285.0,2431,460.093702
20.0,1195,460.635673
105.0,2009,461.560279
125.0,2229,462.614278
275.0,3781,464.285233
140.0,1959,465.184554
85.0,1551,465.860424
265.0,2589,467.051606
270.0,2075,467.997588
430.0,1991,468.943746
255.0,2649,470.188196
55.0,1615,470.950872
145.0,1887,471.796226
125.0,2017,472.686087
305.0,2879,473.98215
190.0,3067,475.346426
140.0,2215,476.348218
130.0,1983,477.264646
180.0,1997,478.193123
35.0,1551,478.897521
90.0,2069,479.80975
170.0,3511,481.312543
105.0,1953,482.161028
110.0,1945,483.012721
300.0,3099,484.370239
170.0,2645,485.545653
195.0,1993,486.40973
10.0,1553,487.057269
205.0,2537,490.933374
150.0,2329,491.880213
185.0,2421,492.946339
315.0,3615,494.578479
30.0,1527,495.287043
230.0,2507,496.424852
205.0,2001,497.316805
365.0,2147,498.306157
150.0,2229,499.280928
385.0,3545,500.898383
180.0,2741,502.133847
225.0,2843,503.389753
110.0,1545,504.070868
165.0,2235,505.087957
60.0,1179,505.638313
185.0,2389,506.74651
150.0,2143,507.725666
150.0,3479,509.349357
165.0,2823,510.672736
285.0,2693,511.915434
200.0,2879,513.32135
120.0,1899,514.231988
230.0,2535,515.413772
85.0,2467,516.543052
475.0,2971,517.873415
115.0,1285,518.46744
190.0,2817,519.652586
225.0,2787,520.832636
125.0,1155,521.33872
150.0,2051,522.218347
110.0,2087,523.109943
215.0,2009,524.032995
215.0,2573,525.14967
105.0,1983,525.968794
555.0,3563,527.4143
185.0,2349,528.432449
235.0,3429,529.963529
120.0,2371,531.047014
210.0,2411,532.167671
175.0,2321,533.233062
260.0,3379,534.790193
805.0,5113,540.341554
105.0,1905,541.252886
420.0,3229,542.767872
195.0,2805,544.145496
135.0,1965,545.063251
120.0,2039,546.022391
285.0,3097,547.445853
210.0,2405,548.545415
130.0,2095,549.451053
330.0,3425,550.886073
225.0,2811,552.055187
350.0,3179,553.393011
240.0,3877,554.981178
140.0,3391,556.435509
270.0,2613,557.530357
340.0,2907,558.824324
225.0,2651,559.954613
160.0,2383,560.989887
210.0,2743,562.223027
315.0,3079,563.580307
255.0,3075,564.990927
145.0,2285,565.932714
365.0,2661,567.094443
255.0,2809,568.302268
110.0,1945,569.154304
315.0,4155,571.08611
570.0,4543,573.171048
110.0,1917,574.070076
255.0,3453,575.659283
185.0,1979,576.583186
330.0,2648,577.817496
305.0,2389,578.921712
385.0,3238,580.452677
225.0,2665,581.714802
35.0,1195,582.24811
285.0,2583,583.462829
90.0,1867,584.3394
205.0,2181,588.403048
380.0,3827,590.194452
405.0,2987,591.616058
130.0,1939,592.54136
260.0,3237,594.058733
500.0,3041,595.488155
110.0,2137,596.544657
185.0,2405,597.684581
250.0,2713,598.987034
310.0,2919,600.335889
700.0,3951,602.046642
320.0,3327,603.462968
145.0,3127,604.799269
285.0,3055,606.130845
465.0,3568,607.721267
145.0,2173,608.747783
